SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
RHSE8,Rhynchosia sennaarensis,Rhynchosia sennaarensis Hochst. ex Schweinf.,,,,
RHMA15,Rhynchospora marliniana,"Rhynchospora marliniana Naczi, W.M.Knapp & W.W.Thomas",Marlin beaksedge,,Cyperaceae,
RHMA2,Rhizophora mangle,Rhizophora mangle L.,red mangrove,Red Mangrove,Rhizophoraceae,OBL
RHMA3,Rhododendron macrophyllum,Rhododendron macrophyllum D. Don ex G. Don,Pacific rhododendron,California Rhododendron,Ericaceae,
RHCA19,Rhododendron californicum,Rhododendron californicum Hook.,,,,
RHMA4,Rhododendron maximum,Rhododendron maximum L.,great laurel,Great-Laurel,Ericaceae,FAC
RHAS2,Rhododendron ashleyi,Rhododendron ashleyi Coker,,,,
RHMA5,Rhynchospora macra,Rhynchospora macra (C.B. Clarke ex Britton) Small,large beaksedge,Large Beak Sedge,Cyperaceae,OBL
RHMA6,Rhynchospora macrostachya,Rhynchospora macrostachya Torr. ex A. Gray,tall horned beaksedge,Tall Horned Beak Sedge,Cyperaceae,OBL
RHMAC,Rhynchospora macrostachya,Rhynchospora macrostachya Torr. ex A. Gray var. colpophila Fernald & Gale,,Tall Horned Beak Sedge,,OBL
RHMA7,Rhinanthus major,Rhinanthus major L.,European yellow rattle,,Scrophulariaceae,
RHAL6,Rhinanthus alectorolophus,Rhinanthus alectorolophus (Scop.) Pollich,,,,
RHMA8,Rhynchospora marisculus,Rhynchospora marisculus Nees ex Lindl. & Nees,Caribbean beaksedge,Caribbean Beak Sedge,Cyperaceae,
RHBO2,Rhynchospora borinquensis,Rhynchospora borinquensis Britton,,,,
RHMA9,Rhizocarpon macrosporum,Rhizocarpon macrosporum Rasanen,largespore map lichen,,Rhizocarpaceae,
RHSP6,Rhizocarpon sphaerosporum,Rhizocarpon sphaerosporum Rasanen,,,,
RHMAI,Rhexia mariana,Rhexia mariana L. var. interior (Pennell) Kral & Bostick,Maryland meadowbeauty,Maryland Meadow-Beauty,Melastomataceae,FACW
RHIN9,Rhexia interior,Rhexia interior Pennell,,,,
RHMAM2,Rhexia mariana,Rhexia mariana L. var. mariana,Maryland meadowbeauty,Maryland Meadow-Beauty,Melastomataceae,FACW
RHDE3,Rhexia delicatula,Rhexia delicatula Small,,,,
RHFI3,Rhexia filiformis,Rhexia filiformis Small,,,,
RHLA8,Rhexia lanceolata,Rhexia lanceolata Walter,,,,
RHMAE,Rhexia mariana,Rhexia mariana L. var. exalbida Michx.,,Maryland Meadow-Beauty,,FACW
RHMAL,Rhexia mariana,Rhexia mariana L. var. leiosperma Fernald & Grisc.,,Maryland Meadow-Beauty,,FACW
RHMAV,Rhexia mariana,Rhexia mariana L. var. ventricosa (Fernald & Grisc.) Kral & Bostick,Maryland meadowbeauty,Maryland Meadow-Beauty,Melastomataceae,FACW
RHVE3,Rhexia ventricosa,Rhexia ventricosa Fernald & Grisc.,,,,
RHME,Rhynchospora megalocarpa,Rhynchospora megalocarpa A. Gray,sandyfield beaksedge,,Cyperaceae,
RHDO,Rhynchospora dodecandra,Rhynchospora dodecandra Baldw. ex A. Gray,,,,
RHME2,Rhizoplaca melanophthalma,Rhizoplaca melanophthalma (DC.) Leuckert & Poelt,rimmed navel lichen,,Lecanoraceae,
LEBR19,Lecidea brandegeei,Lecidea brandegeei Tuck.,,,,
LEBR8,Lecidea brandegei,"Lecidea brandegei Tuck., orth. var.",,,,
LEME15,Lecanora melanophthalma,Lecanora melanophthalma (DC.) Ramond,,,,
RHME3,Rhynchospora megaplumosa,Rhynchospora megaplumosa Bridges & Orzell,Manatee beaksedge,Manatee Beak Sedge,Cyperaceae,FACW
RHMI10,Rhynchosia michauxii,Rhynchosia michauxii Vail,Michaux's snoutbean,,Fabaceae,
DOMI5,Dolicholus michauxii,Dolicholus michauxii (Vail) Vail,,,,
RHMI11,Rhus michauxii,Rhus michauxii Sarg.,false poison sumac,,Anacardiaceae,
RHMI13,Rhinanthus minor,Rhinanthus minor L.,little yellow rattle,Little Yellow-Rattle,Scrophulariaceae,
RHMI14,Rhizocarpon microsporum,Rhizocarpon microsporum Lynge,smallspore map lichen,,Rhizocarpaceae,
RHMI2,Rhododendron minus,Rhododendron minus Michx.,piedmont rhododendron,,Ericaceae,
RHMI3,Rhus microphylla,Rhus microphylla Engelm. ex A. Gray,littleleaf sumac,,Anacardiaceae,
RHMI4,Rhynchosia minima,Rhynchosia minima (L.) DC.,least snoutbean,,Fabaceae,
DOMI2,Dolichos minimus,Dolichos minimus L.,,,,
DOMI3,Dolicholus minimus,Dolicholus minimus (L.) Medik.,,,,
RHMID,Rhynchosia minima,Rhynchosia minima (L.) DC. var. diminifolia WalP.H. Raven,,,,
RHMI5,Rhynchospora miliacea,Rhynchospora miliacea (Lam.) A. Gray,millet beaksedge,Millet Beak Sedge,Cyperaceae,OBL
SCMI10,Schoenus miliaceus,Schoenus miliaceus Lam.,,,,
RHMI7,Rhynchospora microcarpa,Rhynchospora microcarpa Baldw. ex A. Gray,southern beaksedge,Southern Beak Sedge,Cyperaceae,OBL
RHED2,Rhynchospora edisoniana,Rhynchospora edisoniana Britton ex Small,,,,
RHSU,Rhynchospora sulcata,Rhynchospora sulcata Gale,,,,
RHMI8,Rhynchospora microcephala,Rhynchospora microcephala (Britton) Britton,smallhead beaksedge,Small-Head Beak Sedge,Cyperaceae,FACW
RHCEM,Rhynchospora cephalantha,Rhynchospora cephalantha A. Gray var. microcephala (Britton) Kük.,,Bunched Beak Sedge,,OBL
RHMI9,Rhynchospora mixta,Rhynchospora mixta Britton,mingled beaksedge,Mingled Beak Sedge,Cyperaceae,OBL
RHPR3,Rhynchospora prolifera,Rhynchospora prolifera Small,,,,
RHMIG,Rhinanthus minor,Rhinanthus minor L. ssp. groenlandicus (Ostenf.) L. Neum.,arctic rattlebox,Little Yellow-Rattle,Scrophulariaceae,
RHAR2,Rhinanthus arcticus,Rhinanthus arcticus (Sterneck) Pennell,,,,
RHBO3,Rhinanthus borealis,Rhinanthus borealis (Sterneck) Druce,,,,
RHGR4,Rhinanthus groenlandicus,Rhinanthus groenlandicus (Ostenf.) Chabert,,,,
RHMIB,Rhinanthus minor,Rhinanthus minor L. ssp. borealis (Sterneck) Á. Löve,,Little Yellow-Rattle,,
RHMIM,Rhinanthus minor,Rhinanthus minor L. ssp. minor,little yellow rattle,Little Yellow-Rattle,Scrophulariaceae,
RHBOK,Rhinanthus borealis,Rhinanthus borealis (Sterneck) Druce ssp. kyrolliae (Chabert) Pennell,,,,
RHCR2,Rhinanthus crista-galli,Rhinanthus crista-galli L. p.p.,,,,
RHCRF,Rhinanthus crista-galli,Rhinanthus crista-galli L. var. fallax (Wimm. & Grab.) Druce,,,,
RHKY,Rhinanthus kyrolliae,Rhinanthus kyrolliae Chabert,,,,
RHRI2,Rhinanthus rigidus,Rhinanthus rigidus Chabert,,,,
RHST6,Rhinanthus stenophyllus,Rhinanthus stenophyllus (Schur) Schinz & Thell.,,,,
RHMIP,Rhynchosia minima,Rhynchosia minima (L.) DC. var. prostrata (Harv.) Meikle,,,Fabaceae,
RHMO3,Rhododendron molle,Rhododendron molle (Blume) G. Don,,,Ericaceae,
RHMU,Rhizophora mucronata,Rhizophora mucronata Lam.,Asiatic mangrove,_?_,Rhizophoraceae,
RHMUM,Rhizophora mucronata,Rhizophora mucronata Lam. var. mucronata,,_?_,,
RHNA,Rhexia nashii,Rhexia nashii Small,maid Marian,Maid Marian,Melastomataceae,FACW
RHMAP,Rhexia mariana,Rhexia mariana L. var. purpurea Michx.,,Maryland Meadow-Beauty,,FACW
RHNE,Rhynchospora nervosa,Rhynchospora nervosa (Vahl) Boeckeler [excluded],,,Cyperaceae,
RHNI,Rhynchospora nitens,Rhynchospora nitens (Vahl) A. Gray,shortbeak beaksedge,Short-Beak Beak Sedge,Cyperaceae,OBL
PSNI,Psilocarya nitens,Psilocarya nitens (Vahl) Alph. Wood,,,,
PSPO3,Psilocarya portoricensis,Psilocarya portoricensis Britton,,,,
RHNI2,Rhynchospora nivea,Rhynchospora nivea Boeckeler,showy whitetop,Showy Whitetop,Cyperaceae,FACW
DINI,Dichromena nivea,Dichromena nivea (Boeckeler) Boeckeler ex Britton,,,,
RHNO,Rhizocarpon norvegicum,Rhizocarpon norvegicum Rasanen,Norwegian map lichen,,Rhizocarpaceae,
RHNU2,Rhexia nuttallii,Rhexia nuttallii C.W. James,Nuttall's meadowbeauty,Nuttall's Meadow-Beauty,Melastomataceae,FACW
RHSE6,Rhexia serrulata,Rhexia serrulata Nutt.,,,,
RHNU4,Rhizomnium nudum,Rhizomnium nudum (E. Britton & R.S. Williams) T. Kop.,naked rhizomnium moss,,Mniaceae,
MNNU,Mnium nudum,Mnium nudum E. Britton & R.S. Williams,,,,
RHOB,Rhododendron oblongifolium,Rhododendron oblongifolium (Small) Millais,Texas azalea,,Ericaceae,
RHOB5,Rhizocarpon obscuratum,Rhizocarpon obscuratum (Ach.) A. Massal.,obscure map lichen,,Rhizocarpaceae,
RHAL9,Rhizocarpon albineum,Rhizocarpon albineum (Tuck.) Fink,,,,
RHIN14,Rhizocarpon interponens,Rhizocarpon interponens (Nyl.) Zahlbr.,,,,
RHPE5,Rhizocarpon permodestum,Rhizocarpon permodestum Arnold,,,,
RHRE4,Rhizocarpon reductum,Rhizocarpon reductum Th. Fr.,,,,
RHOC,Rhododendron occidentale,Rhododendron occidentale (Torr. & A. Gray) A. Gray,western azalea,Western Azalea,Ericaceae,
RHOCO,Rhododendron occidentale,Rhododendron occidentale (Torr. & A. Gray) A. Gray var. occidentale,western azalea,Western Azalea,Ericaceae,
AZOC,Azalea occidentalis,Azalea occidentalis Torr. & A. Gray,,,,
RHOCP,Rhododendron occidentale,Rhododendron occidentale (Torr. & A. Gray) A. Gray var. paludosum Jeps.,western azalea,Western Azalea,Ericaceae,
RHOCS,Rhododendron occidentale,Rhododendron occidentale (Torr. & A. Gray) A. Gray var. sonomense (Greene) Rehder,Sonoma azalea,Western Azalea,Ericaceae,
RHOD,Rhynchospora odorata,Rhynchospora odorata C. Wright ex Griseb.,fragrant beaksedge,Fragrant Beak Sedge,Cyperaceae,OBL
RHST4,Rhynchospora stipitata,Rhynchospora stipitata Chapm.,,,,
RHODA,Rhodanthe Lindl.,Rhodanthe Lindl.,sunray,,Asteraceae,
RHODI,Rhodiola L.,Rhodiola L.,stonecrop,,Crassulaceae,
RHODO,Rhododendron L.,Rhododendron L.,rhododendron,,Ericaceae,
RHODO2,Rhodomyrtus (DC.),Rhodomyrtus (DC.) Rchb.,rhodomyrtus,,Myrtaceae,
RHODO3,Rhodotypos Siebold,Rhodotypos Siebold & Zucc.,rhodotypos,,Rosaceae,
RHODO4,Rhododon Epling,Rhododon Epling,sandmint,,Lamiaceae,
RHODO5,Rhodobryum (Schimp.),Rhodobryum (Schimp.) Hampe,rhodobryum moss,,Bryaceae,
RHOE,Rhizocarpon oederi,Rhizocarpon oederi (Weber) Körb.,Oeder's map lichen,,Rhizocarpaceae,
RHOF,Rheum officinale,Rheum officinale Baill.,Chinese rhubarb,,Polygonaceae,
RHOL,Rhynchospora oligantha,Rhynchospora oligantha A. Gray,featherbristle beaksedge,Feather-Bristle Beak Sedge,Cyperaceae,OBL
RHON,Rhodobryum ontariense,Rhodobryum ontariense (Kindb.) Par.,Ontario rhodobryum moss,,Bryaceae,
RHOV,Rhus ovata,Rhus ovata S. Watson,sugar sumac,,Anacardiaceae,
RHOVT,Rhus ovata,Rhus ovata S. Watson var. traskiae F.A. Barkley p.p.,,,,
RHPA,Rhynchospora pallida,Rhynchospora pallida M.A. Curtis,pale beaksedge,Pale Beak Sedge,Cyperaceae,OBL
RHPA2,Rhynchosia parvifolia,Rhynchosia parvifolia DC.,small-leaf snoutbean,,Fabaceae,
LEPA14,Leucopterum parvifolium,Leucopterum parvifolium (DC.) Small,,,,
RHPA3,Rhexia parviflora,Rhexia parviflora Chapm.,white meadowbeauty,White Meadow-Beauty,Melastomataceae,OBL
RHPA6,Rhizocarpon parvum,Rhizocarpon parvum Runem.,map lichen,,Rhizocarpaceae,
RHPA7,Rheum palmatum,Rheum palmatum L.,Chinese rhubarb,,Polygonaceae,
RHPE,Rhexia petiolata,Rhexia petiolata Walter,fringed meadowbeauty,Fringed Meadow-Beauty,Melastomataceae,FACW
RHCI6,Rhexia ciliosa,Rhexia ciliosa Michx.,,,,
RHPE10,Rhachithecium perpusillum,Rhachithecium perpusillum (Thwaites & Mitt.) Broth.,rhachithecium moss,,Rhachitheciaceae,
TOPR2,Tortula propagulosa,Tortula propagulosa Sharp,,,,
RHPE12,Rhamnus petiolaris,Rhamnus petiolaris Boiss.,,,Rhamnaceae,
RHPE2,Rhynchospora perplexa,Rhynchospora perplexa Britton,pineland beaksedge,Pineland Beak Sedge,Cyperaceae,OBL
RHPEV,Rhynchospora perplexa,Rhynchospora perplexa Britton var. virginiana Fernald,,Pineland Beak Sedge,,OBL
RHPE3,Rhododendron ×pennsylvanicum,Rhododendron ×pennsylvanicum Rehder,hybrid rhododendron,,Ericaceae,
RHPE4,Rhododendron periclymenoides,Rhododendron periclymenoides (Michx.) Shinners,pink azalea,Pink Azalea,Ericaceae,FAC
AZNU,Azalea nudiflora,Azalea nudiflora L.,,,,
RHNU3,Rhododendron nudiflorum,Rhododendron nudiflorum (L.) Torr.,,,,
RHNUG,Rhododendron nudiflorum,Rhododendron nudiflorum (L.) Torr. var. glandiferum (Porter) Rehder,,,,
RHPEE,Rhododendron periclymenoides,Rhododendron periclymenoides (Michx.) Shinners var. eglandulosum Seymour,,Pink Azalea,,FAC
RHPE6,Rhizoplaca peltata,Rhizoplaca peltata (Ramond) Leuckert & Poelt,peltate rimmed navel lichen,,Lecanoraceae,
LEPE15,Lecanora peltata,Lecanora peltata (Ramond) Steud.,,,,
RHPE8,Rhizocarpon petraeum,Rhizocarpon petraeum (Wulfen) A. Massal.,,,Rhizocarpaceae,
RHCO16,Rhizocarpon concentricum,Rhizocarpon concentricum auct.,,,,
RHPH,Rhynchosia phaseoloides,Rhynchosia phaseoloides (Sw.) DC.,crabseye,Crab's-Eye,Fabaceae,
DOPY,Dolicholus pyramidalis,Dolicholus pyramidalis auct. non (Lam.) Britton & P. Wilson,,,,
GLPH,Glycine phaseoloides,Glycine phaseoloides Sw.,,,,
RHPH2,Rhynchosida physocalyx,Rhynchosida physocalyx (A. Gray) Fryxell,buffpetal,,Malvaceae,
SIPH2,Sida physocalyx,Sida physocalyx A. Gray,,,,
RHPI,Rhamnus pirifolia,Rhamnus pirifolia Greene,island redberry,,Rhamnaceae,
RHCRP3,Rhamnus crocea,Rhamnus crocea Nutt. var. pirifolia (Greene) Little,,,,
RHCRP4,Rhamnus crocea,Rhamnus crocea Nutt. ssp. pirifolia (Greene) C.B. Wolf,,,,
RHIN20,Rhamnus insularis,Rhamnus insularis Greene,,,,
RHPI5,Rhynchospora pineticola,Rhynchospora pineticola C.B. Clarke,pine barren beaksedge,Pine-Barren Beak Sedge,Cyperaceae,FAC
RHIN5,Rhynchospora intermedia,Rhynchospora intermedia (Chapm.) Britton,,,,
RHPL3,Rhynchospora plumosa,Rhynchospora plumosa Elliott,plumed beaksedge,Plumed Beak Sedge,Cyperaceae,FACW
RHSE5,Rhynchospora semiplumosa,Rhynchospora semiplumosa A. Gray,,,,
RHPL6,Rhynchospora pleiantha,Rhynchospora pleiantha (Kük.) Gale,coastal beaksedge,Coastal Beak Sedge,Cyperaceae,OBL
RHPL7,Rhizocarpon plicatile,Rhizocarpon plicatile (Leight.) A.L. Sm.,map lichen,,Rhizocarpaceae,
RHPO4,Rhizocarpon polycarpoides,Rhizocarpon polycarpoides Degel.,map lichen,,Rhizocarpaceae,
RHPO6,Rhizocarpon postumum,Rhizocarpon postumum (Nyl.) Arnold,,,Rhizocarpaceae,
RHPO60,Rhizocarpon polycarpum,Rhizocarpon polycarpum (Hepp.) Th. Fr.,map lichen,,Rhizocarpaceae,
RHPO7,Rhynchospora polyphylla,Rhynchospora polyphylla Vahl [excluded],,,Cyperaceae,
RHPR,Rhododendron prinophyllum,Rhododendron prinophyllum (Small) Millais,early azalea,Early Azalea,Ericaceae,FAC
AZPR3,Azalea prinophylla,Azalea prinophylla Small,,,,
RHNUR,Rhododendron nudiflorum,Rhododendron nudiflorum (L.) Torr. var. roseum (Loisel.) Wiegand,,,,
RHRO4,Rhododendron roseum,Rhododendron roseum (Loisel.) Rehder,,,,
RHPR2,Rhododendron prunifolium,Rhododendron prunifolium (Small) Millais,plumleaf azalea,,Ericaceae,
AZPR2,Azalea prunifolia,Azalea prunifolia Small,,,,
RHPR4,Rhynchosia precatoria,Rhynchosia precatoria DC.,rosary snoutbean,,Fabaceae,
RHPR5,Rhizocarpon praebadium,Rhizocarpon praebadium (Nyl.) Zahlbr.,,,Rhizocarpaceae,
RHPS70,Rhizomnium pseudopunctatum,Rhizomnium pseudopunctatum (Bruch & Schimp.) T. Kop.,rhizomnium moss,,Mniaceae,
MNPS,Mnium pseudopunctatum,Mnium pseudopunctatum Bruch & Schimp.,,,,
MNSU,Mnium subglobosum,Mnium subglobosum Bruch & Schimp.,,,,
RHPU11,Rhus punjabensis,Rhus punjabensis J.L. Stewart ex Brandis,,,Anacardiaceae,
RHPU3,Rhynchospora pusilla,Rhynchospora pusilla Chapm. ex M.A. Curtis,fairy beaksedge,Fairy Beak Sedge,Cyperaceae,FACW
RHBR3,Rhynchospora bruneri,Rhynchospora bruneri Britton,,,,
RHIN6,Rhynchospora intermixta,Rhynchospora intermixta C. Wright,,,,
RHPU4,Rhynchospora punctata,Rhynchospora punctata Elliott,dotted beaksedge,Dotted Beak Sedge,Cyperaceae,OBL
RHPU6,Rhizocarpon pusillum,Rhizocarpon pusillum Runem.,map lichen,,Rhizocarpaceae,
RHPU7,Rhizomnium punctatum,Rhizomnium punctatum (Hedw.) T. Kop.,rhizomnium moss,,Mniaceae,
MNGLC,Mnium glabrescens,Mnium glabrescens Kindb. ssp. chlorophyllosum Kindb.,,,,
MNPU,Mnium punctatum,Mnium punctatum Hedw.,,,,
RHPUC,Rhizomnium punctatum,Rhizomnium punctatum (Hedw.) T. Kop. ssp. chlorophyllosum (Kindb.) T. Kop.,,,,
RHPUS2,Rhus punjabensis,Rhus punjabensis J.L. Stewart ex Brandis var. sinica (Diels) Rehder & E.H. Wilson,,,Anacardiaceae,
RHRA2,Rhynchospora rariflora,Rhynchospora rariflora (Michx.) Elliott,fewflower beaksedge,Few-Flower Beak Sedge,Cyperaceae,OBL
SCRA3,Schoenus rariflorus,Schoenus rariflorus Michx.,,,,
RHRA3,Rhynchospora racemosa,Rhynchospora racemosa C. Wright ex Sauvalle,racemed beaksedge,Racemed Beak Sedge,Cyperaceae,
RHRA4,Rhynchospora radicans,Rhynchospora radicans (Schltdl. & Cham.) H. Pfeifer,tropical whitetop,Tropical Whitetop,Cyperaceae,
RHRAM,Rhynchospora radicans,Rhynchospora radicans (Schltdl. & Cham.) H. Pfeifer ssp. microcephala (Bertero ex Spreng.) W.W. Thomas,tropical whitetop,Tropical Whitetop,Cyperaceae,
DIMI7,Dichromena microcephala,Dichromena microcephala Bertero ex Spreng.,,,,
DIRA3,Dichromena radicans,Dichromena radicans Schltdl. & Cham. p.p.,,,,
RHRE,Rhynchosia reniformis,Rhynchosia reniformis DC.,dollarleaf,,Fabaceae,
DOSI,Dolicholus simplicifolius,Dolicholus simplicifolius (Walter) Vail,,,,
GLRE,Glycine reniformis,"Glycine reniformis Pursh, nom. illeg.",,,,
RHSI,Rhynchosia simplicifolius,"Rhynchosia simplicifolius (Walter) Alph. Wood, non (Kunth) DC.",,,,
RHTOM2,Rhynchosia tomentosa,Rhynchosia tomentosa (L.) Hook. & Arn. var. monophylla (Michx.) Torr. & A. Gray,,,,
RHRE3,Rhynchosia reticulata,Rhynchosia reticulata (Sw.) DC.,habilla,,Fabaceae,
DORE3,Dolicholus reticulatus,Dolicholus reticulatus (Sw.) Millsp.,,,,
GLRE2,Glycine reticulata,Glycine reticulata Sw.,,,,
RHRE5,Rhizocarpon renneri,Rhizocarpon renneri Poelt,Renner's map lichen,,Rhizocarpaceae,
RHRE8,Rhynchospora recognita,Rhynchospora recognita (Gale) Kral,globe beaksedge,Coarse Globe Beak Sedge,Cyperaceae,FACW
RHGLR,Rhynchospora globularis,Rhynchospora globularis (Chapm.) Small var. recognita Gale,,Globe Beak Sedge,,FACW
RHOB2,Rhynchospora obliterata,Rhynchospora obliterata Gale,,,,
RHRH2,Rheum rhabarbarum,Rheum rhabarbarum L.,garden rhubarb,,Polygonaceae,
RHRH5,Rheum rhaponticum,Rheum rhaponticum auct. non L.,,,,
RHRH4,Rhodiola rhodantha,Rhodiola rhodantha (A. Gray) H. Jacobsen,redpod stonecrop,Queen's-Crown,Crassulaceae,
CLRH2,Clementsia rhodantha,Clementsia rhodantha (A. Gray) Rose,,,,
SERH,Sedum rhodanthum,Sedum rhodanthum A. Gray,,,,
RHRI3,Rhizocarpon riparium,Rhizocarpon riparium Rasanen,streamside map lichen,,Rhizocarpaceae,
RHRI4,Rhizocarpon rittokense,Rhizocarpon rittokense (Hellbom) Th. Fr.,Rittok map lichen,,Rhizocarpaceae,
RHRO3,Rhodiola rosea,Rhodiola rosea L.,roseroot stonecrop,King's-Crown,Crassulaceae,FACU
RHRO5,Rhodiola roanensis,Rhodiola roanensis Britton,,,,
SERO10,Sedum roseum,"Sedum roseum (L.) Scop., orth. var.",,,,
SERO2,Sedum rosea,Sedum rosea (L.) Scop.,,,,
SEROR,Sedum rosea,Sedum rosea (L.) Scop. var. roanense (Britton) A. Berger,,,,
SEROR2,Sedum roseum,"Sedum roseum (L.) Scop. var. roanense (Britton) A. Berger, orth. var.",,,,
RHRO6,Rhodobryum roseum,Rhodobryum roseum (Hedw.) Limpr.,rose rhodobryum moss,,Bryaceae,
RHRO7,Rhytidiopsis robusta,Rhytidiopsis robusta (Hook.) Broth.,robust rhytidiopsis moss,,Hylocomiaceae,
RHRU2,Rhynchospora rufa,Rhynchospora rufa (Nees) Boeckeler,red beaksedge,,Cyperaceae,
PSRU,Psilocarya rufa,Psilocarya rufa Nees,,,,
RHVE,Rhynchospora velutina,Rhynchospora velutina (Kunth) Boeckeler,,Red Beak Sedge,,
RHRU3,Rhynchospora rugosa,Rhynchospora rugosa (Vahl) Gale,claybank beaksedge,Claybank Beak Sedge,Cyperaceae,
RHRU5,Rhynchospora rubra,Rhynchospora rubra Domin,rhynchospora,_?_,Cyperaceae,
RHRU70,Rhytidium rugosum,Rhytidium rugosum (Hedw.) Kindb.,rhytidium moss,,Rhytidiaceae,
RHRUL,Rhynchospora rugosa,Rhynchospora rugosa (Vahl) Gale ssp. lavarum (Gaudich.) T. Koyama,claybank beaksedge,Claybank Beak Sedge,Cyperaceae,
RHLA6,Rhynchospora lavarum,Rhynchospora lavarum Gaudich.,,,,
RHRUR,Rhynchospora rugosa,Rhynchospora rugosa (Vahl) Gale ssp. rugosa,claybank beaksedge,Claybank Beak Sedge,Cyperaceae,
RHGL4,Rhynchospora glauca,Rhynchospora glauca Vahl,,,,
SCRU3,Schoenus rugosus,Schoenus rugosus Vahl,,,,
RHSA2,Rhus sandwicensis,Rhus sandwicensis A. Gray,neneleau,Neneleau,Anacardiaceae,
RHCHS2,Rhus chinensis,Rhus chinensis Mill. var. sandwicensis (A. Gray) O. Deg. & Greenw.,,,,
RHSA3,Rhexia salicifolia,Rhexia salicifolia Kral & Bostick,panhandle meadowbeauty,Panhandle Meadow-Beauty,Melastomataceae,OBL
RHSA5,Rhizocarpon saanaense,Rhizocarpon saanaense Rasanen,map lichen,,Rhizocarpaceae,
RHSU5,Rhizocarpon sublucidum,Rhizocarpon sublucidum Rasanen,,,,
RHSA6,Rhizocarpon santessonii,Rhizocarpon santessonii Timdal,Santesson's map lichen,,Rhizocarpaceae,
RHSA7,Rhamnus saxatilis,Rhamnus saxatilis Jacq.,rock buckthorn,,Rhamnaceae,
RHIN15,Rhamnus infectoria,Rhamnus infectoria L.,,,,
RHSA9,Rhabdadenia sagraei,Rhabdadenia sagraei (A. DC.) Müll. Arg. [excluded],,,Apocynaceae,
RHSC2,Rhynchospora sclerioides,Rhynchospora sclerioides Hook. & Arn.,Hawai'i beaksedge,,Cyperaceae,
RHSC3,Rhodotypos scandens,Rhodotypos scandens (Thunb.) Makino,jetbead,,Rosaceae,
RHTE5,Rhodotypos tetrapetalus,Rhodotypos tetrapetalus (Siebold) Makino,,,,
RHSC5,Rhynchospora scirpoides,Rhynchospora scirpoides (Torr.) A. Gray,longbeak beaksedge,Long-Beak Beak Sedge,Cyperaceae,OBL
PSCO4,Psilocarya corymbiformis,Psilocarya corymbiformis Benth.,,,,
PSCO8,Psilocarya corymbifera,Psilocarya corymbifera (C. Wright) Britton,,,,
PSSC2,Psilocarya scirpoides,Psilocarya scirpoides Torr.,,,,
PSSCG,Psilocarya scirpoides,Psilocarya scirpoides Torr. var. grimesii Fernald & Grisc.,,,,
RHSC6,Rhododendron schlippenbachii,Rhododendron schlippenbachii Maxim.,,,Ericaceae,
RHSE3,Rhamnus serrata,Rhamnus serrata Humb. & Bonpl. ex Schult.,sawleaf buckthorn,,Rhamnaceae,
RHFA2,Rhamnus fasciculata,Rhamnus fasciculata Greene,,,,
RHSMF,Rhamnus smithii,Rhamnus smithii Greene ssp. fasciculata (Greene) C.B. Wolf,,,,
RHSE4,Rhynchosia senna,Rhynchosia senna Gillies ex Hook.,Texas snoutbean,,Fabaceae,
RHSE9,Rhinanthus serotinus,Rhinanthus serotinus (Schönh) Oborny,late-flowering yellow rattle,,Scrophulariaceae,
RHSET,Rhynchosia senna,Rhynchosia senna Gillies ex Hook. var. texana (Torr. & A. Gray) M.C. Johnst.,Texas snoutbean,,Fabaceae,
RHSEA,Rhynchosia senna,Rhynchosia senna Gillies ex Hook. var. angustifolia (A. Gray) Grear,,,,
RHTE,Rhynchosia texana,Rhynchosia texana Torr. & A. Gray [excluded],,,,
RHSI2,Rhizocarpon simillimum,Rhizocarpon simillimum (Anzi) Lettau,map lichen,,Rhizocarpaceae,
RHSM,Rhamnus smithii,Rhamnus smithii Greene,Smith's buckthorn,,Rhamnaceae,
RHSMT,Rhamnus smithii,Rhamnus smithii Greene ssp. typica C.B. Wolf,,,,
RHSO,Rhynchospora solitaria,Rhynchospora solitaria Harper,onespike beaksedge,One-Spike Beak Sedge,Cyperaceae,OBL
RHSO2,Rhynchospora sola,Rhynchospora sola Gale [excluded],Cuban beaksedge,,Cyperaceae,
RHSP3,Rhaphidophora spathacea,Rhaphidophora spathacea Schott,rhaphidophora,,Araceae,
RHSP8,Rhamnus ×spathulifolia,Rhamnus ×spathulifolia Fisch. & C.A. Mey.,,,Rhamnaceae,
RHSQ70,Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus (Hedw.) Warnst.,square goose neck moss,,Hylocomiaceae,
RHCA20,Rhytidiadelphus calvescens,Rhytidiadelphus calvescens (Kindb.) Broth.,,,,
RHSQC,Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus (Hedw.) Warnst. var. calvescens (Kindb.) Warnst.,,,,
RHSU11,Rhytidiadelphus subpinnatus,Rhytidiadelphus subpinnatus (Lindb.) T. Kop.,,,,
RHST2,Rhynchospora stenophylla,Rhynchospora stenophylla Chapm.,coastal plain beaksedge,Coastal-Plain Beak Sedge,Cyperaceae,OBL
RHST3,Rhagadiolus stellatus,Rhagadiolus stellatus (L.) Gaertn.,endive daisy,,Asteraceae,
RHED3,Rhagadiolus edulis,Rhagadiolus edulis Gaertn.,,,,
RHST8,Rhizophora stylosa,Rhizophora stylosa Griff.,small stilted mangrove,,Rhizophoraceae,
